"stkSym1","stkSym2","compInd","intraStkTimePeriod","interStkTimePeriod","timeInd","corVal"
"VNET","AAPL",1,7,3,6,-0.681302565417552
"VNET","AAPL",1,7,3,7,-0.0751233420582355
"VNET","AAPL",1,7,3,8,0.331008275016777
"VNET","AAPL",1,7,3,9,-0.502512385322297
"VNET","AAPL",1,7,3,10,0.921168356344288
"VNET","AAPL",1,7,3,11,0.0418878997212822
"VNET","AAPL",1,7,3,12,0.720338416635273
"VNET","AAPL",1,7,3,13,0.822129185792907
"VNET","AAPL",1,7,3,14,-0.510475357576621
"VNET","AAPL",1,7,3,15,-0.569935501701818
"VNET","AAPL",1,7,3,16,-0.903362612453054
"VNET","AAPL",1,7,3,17,0.39252139935156
"VNET","AAPL",1,7,3,18,-0.939901947433143
"VNET","AAPL",1,7,3,19,0.0584710879303018
"VNET","AAPL",1,7,3,20,-0.0218825986240205
"VNET","AAPL",1,7,3,21,0.793793706951254
"VNET","AAPL",1,7,3,22,0.686958464576698
"VNET","AAPL",1,7,3,23,0.673302378330574
"VNET","AAPL",1,7,3,24,0.457593682732189
"VNET","AAPL",1,7,3,25,0.996006518807606
"VNET","AAPL",1,7,3,26,0.716191185833299
"VNET","AAPL",1,7,3,27,-0.61909491660167
"VNET","AAPL",1,7,3,28,-0.93345330364283
"VNET","AAPL",1,7,3,29,0.933508047906481
"VNET","AAPL",1,7,3,30,0.785487768305104
"VNET","AAPL",1,7,3,31,0.575514709970138
"VNET","ANET",1,7,3,1,-0.837401770417832
"VNET","ANET",1,7,3,2,0.352146339956082
"VNET","ANET",1,7,3,3,-0.935647967709222
"VNET","ANET",1,7,3,4,-0.4354268655843
"VNET","ANET",1,7,3,5,0.391008530240197
"VNET","ANET",1,7,3,6,-0.883068879873998
"VNET","ANET",1,7,3,7,-0.154481881027905
"VNET","ANET",1,7,3,8,-0.285211406594766
"VNET","ANET",1,7,3,9,0.252394908813241
"VNET","ANET",1,7,3,10,0.973951169614757
"VNET","ANET",1,7,3,11,0.322553063169336
"VNET","ANET",1,7,3,12,0.159025114416558
"VNET","ANET",1,7,3,13,-0.0959609723950959
"VNET","ANET",1,7,3,14,-0.153190412190402
"VNET","ANET",1,7,3,15,-0.27517083375246
"VNET","ANET",1,7,3,16,-0.5222314489361
"VNET","ANET",1,7,3,17,0.34090859737906
"VNET","ANET",1,7,3,18,0.900655993160647
"VNET","ANET",1,7,3,19,0.812198407278017
"VNET","ANET",1,7,3,20,-0.369432655539189
"VNET","ANET",1,7,3,21,-0.780094567578412
"VNET","ANET",1,7,3,22,0.0228236006933683
"VNET","ANET",1,7,3,23,0.284870092400294
"VNET","ANET",1,7,3,24,-0.165290022344099
"VNET","ANET",1,7,3,25,0.306795966169369
"VNET","ANET",1,7,3,26,-0.825986926011675
"VNET","ANET",1,7,3,27,-0.264216719213215
"VNET","ANET",1,7,3,28,-0.594168968280986
"VNET","ANET",1,7,3,29,-0.710733880195238
"VNET","ANET",1,7,3,30,0.96808301349155
"VNET","ANET",1,7,3,31,0.716078444639249
"VNET","ALOT",1,7,3,1,0.913662620875308
"VNET","ALOT",1,7,3,2,0.273419885218362
"VNET","ALOT",1,7,3,3,0.539759041566783
"VNET","ALOT",1,7,3,4,0.658648543303651
"VNET","ALOT",1,7,3,5,0.162288165186711
"VNET","ALOT",1,7,3,6,-0.973599011555777
"VNET","ALOT",1,7,3,7,-0.729421692778163
"VNET","ALOT",1,7,3,8,0.0708744236365396
"VNET","ALOT",1,7,3,9,-0.993992330136701
"VNET","ALOT",1,7,3,10,-0.471215205970576
"VNET","ALOT",1,7,3,11,-0.222911285030142
"VNET","ALOT",1,7,3,12,-0.384089223577222
"VNET","ALOT",1,7,3,13,0.690692168787385
"VNET","ALOT",1,7,3,14,0.208700800321285
"VNET","ALOT",1,7,3,15,0.696226727847594
"VNET","ALOT",1,7,3,16,-0.339809847543406
"VNET","ALOT",1,7,3,17,-0.470227886945112
"VNET","ALOT",1,7,3,18,0.43310938888726
"VNET","ALOT",1,7,3,19,0
"VNET","ALOT",1,7,3,20,-0.0757094604299168
"VNET","ALOT",1,7,3,21,-0.641912523451374
"VNET","ALOT",1,7,3,22,0.704259382198463
"VNET","ALOT",1,7,3,23,0.734453578919586
"VNET","ALOT",1,7,3,24,-0.600562946019829
"VNET","ALOT",1,7,3,25,-0.644831419936602
"VNET","ALOT",1,7,3,26,0.485768277375286
"VNET","ALOT",1,7,3,27,-0.799060666207376
"VNET","ALOT",1,7,3,28,-0.0472874644493342
"VNET","ALOT",1,7,3,29,-0.569273020102727
